2024-04-04 21:43:48.221 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-04 21:43:48.222 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-04 21:43:48.223 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-04 21:43:48.223 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240404-214347_pm8ti7/agentscope.db]
2024-04-04 21:43:48.225 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.226 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-04 21:43:48.227 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-04 21:43:48.227 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-04 21:43:48.228 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-04 21:43:48.228 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.229 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.230 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.230 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.231 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [58506] as the port number.
2024-04-04 21:43:48.231 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.232 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [58507] as the port number.
2024-04-04 21:43:48.232 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.233 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [58508] as the port number.
2024-04-04 21:43:48.233 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.234 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [58509] as the port number.
2024-04-04 21:43:48.240 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-04 21:43:48.240 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-04 21:43:48.240 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-04 21:43:48.240 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-04 21:43:48.242 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.242 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.243 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 21:43:48.243 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
