2024-04-04 22:39:31.482 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-04 22:39:31.484 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-04 22:39:31.484 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-04 22:39:31.484 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240404-223931_45szs7/agentscope.db]
2024-04-04 22:39:31.486 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.487 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-04 22:39:31.488 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-04 22:39:31.488 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-04 22:39:31.489 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-04 22:39:31.490 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.490 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.491 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.492 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.493 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [60269] as the port number.
2024-04-04 22:39:31.493 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.494 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [60270] as the port number.
2024-04-04 22:39:31.494 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.494 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [60271] as the port number.
2024-04-04 22:39:31.495 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.495 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [60272] as the port number.
2024-04-04 22:39:31.502 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-04 22:39:31.502 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-04 22:39:31.502 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-04 22:39:31.502 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-04 22:39:31.504 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.504 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.504 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-04 22:39:31.504 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
Moderator: 水果类
Moderator: 水果类
2024-04-04 22:40:36.240 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:60272] success
2024-04-04 22:40:36.240 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:60272] success
