2024-04-05 08:15:04.483 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:15:04.486 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 08:15:04.486 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 08:15:04.486 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-081503_wlpdi7/agentscope.db]
2024-04-05 08:15:04.489 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.489 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 08:15:04.490 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:15:04.491 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:15:04.491 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:15:04.492 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.492 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.493 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.494 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.495 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [65527] as the port number.
2024-04-05 08:15:04.495 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.496 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [65528] as the port number.
2024-04-05 08:15:04.496 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.497 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [65529] as the port number.
2024-04-05 08:15:04.497 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.497 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [65530] as the port number.
2024-04-05 08:15:04.504 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:15:04.505 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:15:04.504 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:15:04.505 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:15:04.507 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.507 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.508 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:15:04.508 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
Moderator: 水果类
Moderator: 水果类
