2024-04-05 08:29:47.468 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:29:47.470 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 08:29:47.470 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 08:29:47.470 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-082947_9srlvt/agentscope.db]
2024-04-05 08:29:47.473 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.473 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 08:29:47.474 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:29:47.475 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:29:47.476 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:29:47.476 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.477 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.478 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.479 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.480 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [49720] as the port number.
2024-04-05 08:29:47.480 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.481 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [49721] as the port number.
2024-04-05 08:29:47.481 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.482 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [49722] as the port number.
2024-04-05 08:29:47.482 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.483 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [49723] as the port number.
2024-04-05 08:29:47.489 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:29:47.489 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:29:47.490 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:29:47.490 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:29:47.491 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.491 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.492 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:29:47.492 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
