2024-04-05 08:36:34.575 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:36:34.577 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 08:36:34.577 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 08:36:34.577 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-083634_0qgw6p/agentscope.db]
2024-04-05 08:36:34.580 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.580 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 08:36:34.581 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:36:34.582 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:36:34.583 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:36:34.583 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.584 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.584 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.585 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.586 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [50454] as the port number.
2024-04-05 08:36:34.586 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.587 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [50455] as the port number.
2024-04-05 08:36:34.587 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.588 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [50456] as the port number.
2024-04-05 08:36:34.588 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.588 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [50457] as the port number.
2024-04-05 08:36:34.595 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:36:34.595 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:36:34.595 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:36:34.595 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:36:34.597 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.597 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.598 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:36:34.598 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
Moderator: 水果类
Moderator: 水果类
2024-04-05 08:37:02.739 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:50457] success
2024-04-05 08:37:02.739 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:50457] success
