2024-04-05 08:52:00.620 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:52:00.622 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 08:52:00.622 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 08:52:00.622 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-085200_rwshzp/agentscope.db]
2024-04-05 08:52:00.625 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.625 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 08:52:00.626 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:52:00.627 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:52:00.628 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:52:00.628 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.628 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.629 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.630 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.630 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52379] as the port number.
2024-04-05 08:52:00.631 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.631 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52380] as the port number.
2024-04-05 08:52:00.631 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.632 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52381] as the port number.
2024-04-05 08:52:00.632 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.633 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52382] as the port number.
2024-04-05 08:52:00.639 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:52:00.639 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:52:00.639 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:52:00.639 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:52:00.641 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.641 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.641 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:52:00.641 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
