2024-04-05 08:53:22.664 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:53:22.666 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 08:53:22.666 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 08:53:22.666 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-085322_x4lhlk/agentscope.db]
2024-04-05 08:53:22.669 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.670 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 08:53:22.670 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:53:22.671 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:53:22.672 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:53:22.672 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.673 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.674 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.675 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.676 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52567] as the port number.
2024-04-05 08:53:22.677 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.678 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52568] as the port number.
2024-04-05 08:53:22.678 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.679 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52569] as the port number.
2024-04-05 08:53:22.679 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.679 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52570] as the port number.
2024-04-05 08:53:22.686 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:53:22.686 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:53:22.687 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:53:22.687 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:53:22.690 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.690 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.691 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:22.691 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
