2024-04-05 08:53:54.771 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:53:54.773 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 08:53:54.773 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 08:53:54.773 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-085354_qw50ux/agentscope.db]
2024-04-05 08:53:54.776 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.777 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 08:53:54.778 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:53:54.779 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:53:54.779 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 08:53:54.780 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.781 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.781 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.782 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.783 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52668] as the port number.
2024-04-05 08:53:54.783 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.784 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52669] as the port number.
2024-04-05 08:53:54.784 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.784 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52670] as the port number.
2024-04-05 08:53:54.785 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.785 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [52671] as the port number.
2024-04-05 08:53:54.792 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:53:54.792 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 08:53:54.792 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:53:54.792 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 08:53:54.794 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.794 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.794 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 08:53:54.794 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
