2024-04-05 09:01:44.523 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:01:44.525 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 09:01:44.525 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 09:01:44.526 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-090144_8dmfs9/agentscope.db]
2024-04-05 09:01:44.528 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.528 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 09:01:44.529 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:01:44.530 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:01:44.531 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:01:44.531 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.532 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.532 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.533 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.534 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53449] as the port number.
2024-04-05 09:01:44.534 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.534 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53450] as the port number.
2024-04-05 09:01:44.535 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.535 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53451] as the port number.
2024-04-05 09:01:44.536 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.536 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53452] as the port number.
2024-04-05 09:01:44.543 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:01:44.543 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:01:44.543 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:01:44.543 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:01:44.544 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.544 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.545 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:01:44.545 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:40.399 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:53452] success
2024-04-05 09:04:40.399 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:53452] success
