2024-04-05 09:04:48.346 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:04:48.348 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 09:04:48.348 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 09:04:48.348 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-090447_hj99pk/agentscope.db]
2024-04-05 09:04:48.351 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.351 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 09:04:48.352 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:04:48.353 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:04:48.353 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:04:48.354 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.355 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.356 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.356 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.357 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53808] as the port number.
2024-04-05 09:04:48.357 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.358 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53809] as the port number.
2024-04-05 09:04:48.358 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.359 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53810] as the port number.
2024-04-05 09:04:48.359 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.360 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53811] as the port number.
2024-04-05 09:04:48.367 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:04:48.367 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:04:48.367 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:04:48.367 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:04:48.369 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.369 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.369 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:48.369 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
Moderator: 家居类
Moderator: 家居类
2024-04-05 09:05:00.118 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:53811] success
2024-04-05 09:05:00.118 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:53811] success
