2024-04-05 09:04:59.968 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:04:59.969 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 09:04:59.970 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 09:04:59.970 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-090459_g4tv22/agentscope.db]
2024-04-05 09:04:59.972 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.973 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 09:04:59.973 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:04:59.974 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:04:59.975 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:04:59.976 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.977 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.978 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.978 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.979 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53877] as the port number.
2024-04-05 09:04:59.979 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.980 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53878] as the port number.
2024-04-05 09:04:59.980 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.981 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53879] as the port number.
2024-04-05 09:04:59.981 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.982 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [53880] as the port number.
2024-04-05 09:04:59.989 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:04:59.989 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:04:59.989 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:04:59.989 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:04:59.991 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.991 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.991 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:04:59.991 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:05:00.111 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:05:00.111 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:05:00.111 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:05:00.111 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:05:00.111 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:05:00.111 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:05:00.112 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:05:00.112 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:05:00.112 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:05:00.113 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [53811]...
2024-04-05 09:05:00.113 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [53811]...
2024-04-05 09:05:00.113 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [53811]...
2024-04-05 09:05:00.117 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [53811] started successfully
2024-04-05 09:05:00.117 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [53811] started successfully
2024-04-05 09:05:00.117 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [53811] started successfully
juge: {'词语1': '沙发', '词语2': '餐桌'}
juge: {'词语1': '沙发', '词语2': '餐桌'}
juge: {'词语1': '沙发', '词语2': '餐桌'}
