2024-04-05 09:09:35.090 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:09:35.091 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 09:09:35.092 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 09:09:35.092 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-090934_ms3x4m/agentscope.db]
2024-04-05 09:09:35.094 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.095 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 09:09:35.095 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:09:35.096 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:09:35.097 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:09:35.098 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.098 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.099 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.099 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.100 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [54228] as the port number.
2024-04-05 09:09:35.100 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.101 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [54229] as the port number.
2024-04-05 09:09:35.101 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.102 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [54230] as the port number.
2024-04-05 09:09:35.102 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.103 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [54231] as the port number.
2024-04-05 09:09:35.109 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:09:35.109 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:09:35.109 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:09:35.109 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:09:35.110 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.110 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.111 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:09:35.111 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
Moderator: 运动类
Moderator: 运动类
2024-04-05 09:09:56.230 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:54231] success
2024-04-05 09:09:56.230 | INFO     | agentscope.agents.rpc_agent:_launch_in_sub:394 - Launch [DictDialogAgent] server at [localhost:54231] success
