2024-04-05 09:13:12.016 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:13:12.017 | INFO     | agentscope.utils.monitor:_create_monitor_table:341 - Init [monitor_metrics] as the monitor table
2024-04-05 09:13:12.017 | INFO     | agentscope.utils.monitor:_create_monitor_table:342 - Init [monitor_metrics_quota_exceeded] as the monitor trigger
2024-04-05 09:13:12.017 | INFO     | agentscope.utils.monitor:__init__:311 - SqliteMonitor initialization completed at [./runs/run_20240405-091311_q5y1p4/agentscope.db]
2024-04-05 09:13:12.019 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.019 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.call_counter] to SqliteMonitor with unit [times] and quota [None]
2024-04-05 09:13:12.020 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.prompt_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:13:12.021 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.completion_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:13:12.021 | INFO     | agentscope.utils.monitor:register:362 - Register metric [qwen-max.total_tokens] to SqliteMonitor with unit [token] and quota [None]
2024-04-05 09:13:12.022 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.022 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.023 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.024 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.025 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [54674] as the port number.
2024-04-05 09:13:12.025 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.026 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [54675] as the port number.
2024-04-05 09:13:12.026 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.027 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [54676] as the port number.
2024-04-05 09:13:12.027 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.028 | WARNING  | agentscope.agents.rpc_agent:check_port:284 - gRpc server port is not provided, automatically select [54677] as the port number.
2024-04-05 09:13:12.036 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:13:12.037 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:13:12.036 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:13:12.037 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:13:12.038 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.038 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.040 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.040 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.167 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:13:12.167 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:13:12.167 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:13:12.167 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:13:12.167 | WARNING  | agentscope.models:read_model_configs:164 - config_name [qwen] already exists.
2024-04-05 09:13:12.167 | INFO     | agentscope.models:read_model_configs:171 - Load configs for model wrapper: qwen
2024-04-05 09:13:12.168 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.168 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.168 | INFO     | agentscope.models.model:__init__:257 - Initialize model [qwen]
2024-04-05 09:13:12.169 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [54535]...
2024-04-05 09:13:12.169 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [54535]...
2024-04-05 09:13:12.169 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:224 - Starting rpc server [DictDialogAgent] at port [54535]...
2024-04-05 09:13:12.173 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [54535] started successfully
2024-04-05 09:13:12.173 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [54535] started successfully
2024-04-05 09:13:12.173 | INFO     | agentscope.agents.rpc_agent:setup_rcp_agent_server:243 - rpc server [DictDialogAgent] at port [54535] started successfully
play1: {'特征': '叶绿茎白，常食用'}
play1: {'特征': '叶绿茎白，常食用'}
play1: {'特征': '叶绿茎白，常食用'}
